Date,Time,Laptime,Laptime(ms),STATUS_MAXMIN,Idc_1(A),Idc_2(A),Idc_3(A)
2026/01/14,10:00:00,0,0,NORMAL,20.06,20.063,19.95
2026/01/14,10:00:01,1,1000,NORMAL,20.064,20.045,19.979
2026/01/14,10:00:02,2,2000,NORMAL,19.993,20.016,20.013
2026/01/14,10:00:03,3,3000,NORMAL,19.872,20.085,19.757
2026/01/14,10:00:04,4,4000,NORMAL,19.848,19.946,20.014
2026/01/14,10:00:05,5,5000,NORMAL,19.962,19.903,19.895
2026/01/14,10:00:06,6,6000,NORMAL,20.131,20.114,19.917
2026/01/14,10:00:07,7,7000,NORMAL,20.137,19.943,19.805
2026/01/14,10:00:08,8,8000,NORMAL,20.057,19.938,19.934
2026/01/14,10:00:09,9,9000,NORMAL,19.913,20.18,20.099
2026/01/14,10:00:10,10,10000,NORMAL,19.895,20.125,20.025
2026/01/14,10:00:11,11,11000,NORMAL,20.161,19.948,19.908
2026/01/14,10:00:12,12,12000,NORMAL,20.105,19.879,19.871
2026/01/14,10:00:13,13,13000,NORMAL,20.081,20.006,20.001
2026/01/14,10:00:14,14,14000,NORMAL,20.054,19.958,20.059
2026/01/14,10:00:15,15,15000,NORMAL,19.883,20.117,20.028
2026/01/14,10:00:16,16,16000,NORMAL,19.869,19.866,20.092
2026/01/14,10:00:17,17,17000,NORMAL,19.851,19.874,19.967
2026/01/14,10:00:18,18,18000,NORMAL,20.16,19.938,20.15
2026/01/14,10:00:19,19,19000,NORMAL,19.917,20.037,19.949
2026/01/14,10:00:20,20,20000,NORMAL,19.854,20.051,20.107
2026/01/14,10:00:21,21,21000,NORMAL,19.859,20.191,19.948
2026/01/14,10:00:22,22,22000,NORMAL,19.874,19.977,19.796
2026/01/14,10:00:23,23,23000,NORMAL,19.968,20.25,20.074
2026/01/14,10:00:24,24,24000,NORMAL,19.988,20.053,19.842
2026/01/14,10:00:25,25,25000,NORMAL,19.901,20.04,20.024
2026/01/14,10:00:26,26,26000,NORMAL,20.162,19.975,19.808
2026/01/14,10:00:27,27,27000,NORMAL,20.119,20.234,20.074
2026/01/14,10:00:28,28,28000,NORMAL,19.919,20.186,19.974
2026/01/14,10:00:29,29,29000,NORMAL,19.96,19.95,19.981
2026/01/14,10:00:30,30,30000,NORMAL,19.885,20.19,20.086
2026/01/14,10:00:31,31,31000,NORMAL,20.186,20.157,20.108
2026/01/14,10:00:32,32,32000,NORMAL,20.065,19.914,20.135
2026/01/14,10:00:33,33,33000,NORMAL,20.094,20.211,20.035
2026/01/14,10:00:34,34,34000,NORMAL,20.012,20.25,19.994
2026/01/14,10:00:35,35,35000,NORMAL,20.118,19.918,20.02
2026/01/14,10:00:36,36,36000,NORMAL,19.842,20.111,20.118
2026/01/14,10:00:37,37,37000,NORMAL,19.871,20.118,20.039
2026/01/14,10:00:38,38,38000,NORMAL,20.123,20.129,20.008
2026/01/14,10:00:39,39,39000,NORMAL,20.089,19.901,19.89
2026/01/14,10:00:40,40,40000,NORMAL,20.131,19.982,19.983
2026/01/14,10:00:41,41,41000,NORMAL,19.938,19.916,19.929
2026/01/14,10:00:42,42,42000,NORMAL,19.889,19.866,19.775
2026/01/14,10:00:43,43,43000,NORMAL,19.913,20.012,19.938
2026/01/14,10:00:44,44,44000,NORMAL,20.161,20.06,20.102
2026/01/14,10:00:45,45,45000,NORMAL,20.156,19.891,19.848
2026/01/14,10:00:46,46,46000,NORMAL,20.028,20.007,19.967
2026/01/14,10:00:47,47,47000,NORMAL,20.066,20.031,19.766
2026/01/14,10:00:48,48,48000,NORMAL,19.878,20.226,19.99
2026/01/14,10:00:49,49,49000,NORMAL,19.897,19.972,19.948
2026/01/14,10:00:50,50,50000,NORMAL,20.12,20.236,20.041
2026/01/14,10:00:51,51,51000,NORMAL,19.959,20.174,19.879
2026/01/14,10:00:52,52,52000,NORMAL,19.895,20.101,20.043
2026/01/14,10:00:53,53,53000,NORMAL,20.159,19.878,20.152
2026/01/14,10:00:54,54,54000,NORMAL,20.146,20.104,20.028
2026/01/14,10:00:55,55,55000,NORMAL,19.981,20.003,20.06
2026/01/14,10:00:56,56,56000,NORMAL,19.835,19.884,20.003
2026/01/14,10:00:57,57,57000,NORMAL,19.846,19.933,19.935
2026/01/14,10:00:58,58,58000,NORMAL,19.986,20.251,19.889
2026/01/14,10:00:59,59,59000,NORMAL,19.856,19.954,19.914
2026/01/14,10:01:00,60,60000,NORMAL,20.171,20.207,19.88
2026/01/14,10:01:01,61,61000,NORMAL,20.042,19.92,19.955
2026/01/14,10:01:02,62,62000,NORMAL,19.967,19.92,20.022
2026/01/14,10:01:03,63,63000,NORMAL,19.978,20.155,20.045
2026/01/14,10:01:04,64,64000,NORMAL,19.946,20.201,19.776
2026/01/14,10:01:05,65,65000,NORMAL,19.854,20.191,19.98
2026/01/14,10:01:06,66,66000,NORMAL,20.05,20.26,20.035
2026/01/14,10:01:07,67,67000,NORMAL,19.902,20.224,20.151
2026/01/14,10:01:08,68,68000,NORMAL,20.153,20.046,20.1
2026/01/14,10:01:09,69,69000,NORMAL,19.88,20.134,19.88
2026/01/14,10:01:10,70,70000,NORMAL,20.095,20.101,19.95
2026/01/14,10:01:11,71,71000,NORMAL,19.844,20.188,19.794
2026/01/14,10:01:12,72,72000,NORMAL,19.836,20.089,19.8
2026/01/14,10:01:13,73,73000,NORMAL,19.858,20.225,19.791
2026/01/14,10:01:14,74,74000,NORMAL,20.023,19.878,19.805
2026/01/14,10:01:15,75,75000,NORMAL,19.841,20.233,19.972
2026/01/14,10:01:16,76,76000,NORMAL,20.055,20.25,19.909
2026/01/14,10:01:17,77,77000,NORMAL,20.12,20.228,20.139
2026/01/14,10:01:18,78,78000,NORMAL,19.912,20.117,20.055
2026/01/14,10:01:19,79,79000,NORMAL,19.931,20.163,20.0
2026/01/14,10:01:20,80,80000,NORMAL,20.211,20.081,20.122
2026/01/14,10:01:21,81,81000,NORMAL,19.872,20.182,19.796
2026/01/14,10:01:22,82,82000,NORMAL,20.05,19.915,20.057
2026/01/14,10:01:23,83,83000,NORMAL,20.203,19.933,19.97
2026/01/14,10:01:24,84,84000,NORMAL,20.115,20.007,20.003
2026/01/14,10:01:25,85,85000,NORMAL,20.08,20.08,19.96
2026/01/14,10:01:26,86,86000,NORMAL,19.969,20.215,19.891
2026/01/14,10:01:27,87,87000,NORMAL,19.969,20.227,19.971
2026/01/14,10:01:28,88,88000,NORMAL,19.884,20.093,19.953
2026/01/14,10:01:29,89,89000,NORMAL,19.938,20.076,19.895
2026/01/14,10:01:30,90,90000,NORMAL,20.202,19.955,19.909
2026/01/14,10:01:31,91,91000,NORMAL,20.21,19.984,20.051
2026/01/14,10:01:32,92,92000,NORMAL,20.17,19.926,20.045
2026/01/14,10:01:33,93,93000,NORMAL,20.069,20.001,19.836
2026/01/14,10:01:34,94,94000,NORMAL,20.064,19.984,19.905
